Chirurgie 1,Neurochirurgie,HCL,0,1,662
Chirurgie 1,Oto-rhino-laryngologie - chirurgie cervico-faciale,HCL,0,3,478 - 840
Chirurgie 1,Ophtalmologie,HCL,0,9,14 - 442
Chirurgie 1,"Chirurgie plastique, reconstructrice et esthétique",HCL,0,1,46
Chirurgie 1,Chirurgie maxillo-faciale,HCL,0,1,421
Chirurgie 1,Chirurgie orale,HCL,0,1,1773
Chirurgie 2,Urologie,HCL,0,3,735 - 1667
Chirurgie 2,Gynécologie obstétrique,HCL,0,11,302 - 1823
Chirurgie 2,Chirurgie viscérale et digestive,HCL,0,3,362 - 1199
Chirurgie 2,Chirurgie vasculaire,HCL,0,1,2744
Chirurgie 2,Chirurgie thoracique et cardiovasculaire,HCL,0,1,2856
Chirurgie 2,Chirurgie pédiatrique,HCL,0,1,1043
Chirurgie 2,Chirurgie orthopédique et traumatologique,HCL,0,5,311 - 1127
Médecine de l'aigu,Médecine d’urgence,HCL,0,20,519 - 4386
Médecine de l'aigu,Médecine intensive-réanimation,HCL,0,3,846 - 2617
Médecine de l'aigu,Anesthésie-réanimation,HCL,0,19,51 - 591
Médecine d'investigation 1,Anatomie et cytologie pathologiques,HCL,0,2,3547 - 5156
Médecine d'investigation 1,Radiologie et imagerie médicale,HCL,0,10,237 - 1694
Médecine d'investigation 1,Médecine nucléaire,HCL,0,1,1144
Médecine d'investigation 2,Génétique médicale,HCL,0,1,250
Médecine d'investigation 2,Biologie médicale,HCL,2,3,6647 - 7766
Santé publique - Santé au travail - Médecine légale,Médecine et santé au travail,HCL,2,5,3511 - 7461
Santé publique - Santé au travail - Médecine légale,Médecine légale et expertises médicales,HCL,0,1,4777
Santé publique - Santé au travail - Médecine légale,Santé publique,HCL,4,0,
Endocrinologie - Diabétologie - Nutrition - Gynécologie médicale,Gynécologie médicale,HCL,0,3,1197 - 1594
Endocrinologie - Diabétologie - Nutrition - Gynécologie médicale,Endocrinologie-diabétologie-nutrition,HCL,0,3,125 - 1529
Spécialités médicales transversales,Médecine interne et immunologie clinique,HCL,0,5,316 - 662
Spécialités médicales transversales,Maladies infectieuses et tropicales,HCL,0,3,37 - 164
Spécialités médicales transversales,Gériatrie,HCL,0,9,986 - 5816
Spécialités médicales transversales,Dermatologie et vénéréologie,HCL,0,4,99 - 320
Spécialités médicales transversales,Allergologie,HCL,0,2,2094 - 3168
Spécialités médicales transversales,Rhumatologie,HCL,0,3,1009 - 2902
Psychiatrie - Neurologie - Médecine Physique et Réadaptation,Neurologie,HCL,0,6,438 - 1184
Psychiatrie - Neurologie - Médecine Physique et Réadaptation,Psychiatrie,HCL,0,25,1014 - 6689
Psychiatrie - Neurologie - Médecine Physique et Réadaptation,Médecine physique et de réadaptation,HCL,0,3,3315 - 4931
Hématologie - Oncologie - Hépato-gastroentérologie,Hépato-gastro-entérologie,HCL,0,6,222 - 1664
Hématologie - Oncologie - Hépato-gastroentérologie,Hématologie,HCL,0,2,289 - 546
Hématologie - Oncologie - Hépato-gastroentérologie,Oncologie,HCL,0,6,94 - 567
Pédiatrie,Pédiatrie,HCL,0,16,17 - 2481
Médecine cardiovasculaire - Médecine vasculaire - Pneumologie - Néphrologie,Médecine vasculaire,HCL,0,2,3095 - 3136
Médecine cardiovasculaire - Médecine vasculaire - Pneumologie - Néphrologie,Médecine cardiovasculaire,HCL,0,7,71 - 306
