Chirurgie 1,Neurochirurgie,HCL,0,1,662
Chirurgie 1,Oto-rhino-laryngologie - chirurgie cervico-faciale,HCL,0,3,28 - 774
Chirurgie 1,Ophtalmologie,HCL,0,9,14 - 723
Chirurgie 1,"Chirurgie plastique, reconstructrice et esthétique",HCL,0,1,46
Chirurgie 1,Chirurgie maxillo-faciale,HCL,0,1,53
Chirurgie 1,Chirurgie orale,HCL,0,1,2278
Chirurgie 2,Urologie,HCL,0,3,347 - 1594
Chirurgie 2,Gynécologie obstétrique,HCL,0,11,302 - 1851
Chirurgie 2,Chirurgie viscérale et digestive,HCL,0,3,362 - 1199
Chirurgie 2,Chirurgie vasculaire,HCL,0,1,990
Chirurgie 2,Chirurgie thoracique et cardiovasculaire,HCL,0,1,2863
Chirurgie 2,Chirurgie pédiatrique,HCL,0,1,1043
Chirurgie 2,Chirurgie orthopédique et traumatologique,HCL,0,5,311 - 1347
Médecine de l'aigu,Médecine d’urgence,HCL,0,20,275 - 4386
Médecine de l'aigu,Médecine intensive-réanimation,HCL,0,3,846 - 1403
Médecine de l'aigu,Anesthésie-réanimation,HCL,0,19,51 - 566
Médecine d'investigation 1,Anatomie et cytologie pathologiques,HCL,0,2,3547 - 3658
Médecine d'investigation 1,Radiologie et imagerie médicale,HCL,0,10,256 - 1783
Médecine d'investigation 1,Médecine nucléaire,HCL,0,1,799
Médecine d'investigation 2,Génétique médicale,HCL,0,1,3975
Médecine d'investigation 2,Biologie médicale,HCL,1,4,6647 - 7766
Santé publique - Santé au travail - Médecine légale,Médecine et santé au travail,HCL,4,3,6830 - 7461
Santé publique - Santé au travail - Médecine légale,Médecine légale et expertises médicales,HCL,0,1,4503
Santé publique - Santé au travail - Médecine légale,Santé publique,HCL,1,3,2161 - 7590
Endocrinologie - Diabétologie - Nutrition - Gynécologie médicale,Gynécologie médicale,HCL,0,3,803 - 1224
Endocrinologie - Diabétologie - Nutrition - Gynécologie médicale,Endocrinologie-diabétologie-nutrition,HCL,0,3,125 - 1529
Spécialités médicales transversales,Médecine interne et immunologie clinique,HCL,0,5,515 - 973
Spécialités médicales transversales,Maladies infectieuses et tropicales,HCL,0,3,37 - 504
Spécialités médicales transversales,Gériatrie,HCL,0,9,986 - 6151
Spécialités médicales transversales,Dermatologie et vénéréologie,HCL,0,4,30 - 452
Spécialités médicales transversales,Allergologie,HCL,0,2,2078 - 2094
Spécialités médicales transversales,Rhumatologie,HCL,0,3,1009 - 2211
Psychiatrie - Neurologie - Médecine Physique et Réadaptation,Neurologie,HCL,0,6,438 - 1184
Psychiatrie - Neurologie - Médecine Physique et Réadaptation,Psychiatrie,HCL,0,25,394 - 5872
Psychiatrie - Neurologie - Médecine Physique et Réadaptation,Médecine physique et de réadaptation,HCL,0,3,2849 - 4156
Hématologie - Oncologie - Hépato-gastroentérologie,Hépato-gastro-entérologie,HCL,0,6,222 - 1423
Hématologie - Oncologie - Hépato-gastroentérologie,Hématologie,HCL,0,2,289 - 546
Hématologie - Oncologie - Hépato-gastroentérologie,Oncologie,HCL,0,6,99 - 577
Pédiatrie,Pédiatrie,HCL,0,16,17 - 2481
Médecine cardiovasculaire - Médecine vasculaire - Pneumologie - Néphrologie,Médecine vasculaire,HCL,0,2,1745 - 2294
Médecine cardiovasculaire - Médecine vasculaire - Pneumologie - Néphrologie,Médecine cardiovasculaire,HCL,0,7,71 - 323
Médecine cardiovasculaire - Médecine vasculaire - Pneumologie - Néphrologie,Néphrologie,HCL,0,3,177 - 451
Médecine cardiovasculaire - Médecine vasculaire - Pneumologie - Néphrologie,Pneumologie,HCL,0,5,516 - 2572
Médecine générale,Médecine générale,HCL,0,126,95 - 6119
Chirurgie 1,Neurochirurgie,GRENOBLE,0,1,1338
Chirurgie 1,Oto-rhino-laryngologie - chirurgie cervico-faciale,GRENOBLE,0,2,478 - 1843
Chirurgie 1,Ophtalmologie,GRENOBLE,0,3,686 - 738
Chirurgie 1,"Chirurgie plastique, reconstructrice et esthétique",GRENOBLE,0,0,
Chirurgie 1,Chirurgie maxillo-faciale,GRENOBLE,0,1,1056
Chirurgie 1,Chirurgie orale,GRENOBLE,0,0,
Chirurgie 2,Urologie,GRENOBLE,0,2,1340 - 1689
Chirurgie 2,Gynécologie obstétrique,GRENOBLE,0,5,1319 - 2365
Chirurgie 2,Chirurgie viscérale et digestive,GRENOBLE,0,2,1998 - 2864
Chirurgie 2,Chirurgie vasculaire,GRENOBLE,0,1,3243
Chirurgie 2,Chirurgie thoracique et cardiovasculaire,GRENOBLE,0,1,3382
Chirurgie 2,Chirurgie pédiatrique,GRENOBLE,0,1,560
Chirurgie 2,Chirurgie orthopédique et traumatologique,GRENOBLE,0,3,1298 - 1427
Médecine de l'aigu,Médecine d’urgence,GRENOBLE,0,11,1152 - 3450
Médecine de l'aigu,Médecine intensive-réanimation,GRENOBLE,0,2,1416 - 2725
Médecine de l'aigu,Anesthésie-réanimation,GRENOBLE,0,10,133 - 819
Médecine d'investigation 1,Anatomie et cytologie pathologiques,GRENOBLE,0,2,3062 - 4944
Médecine d'investigation 1,Radiologie et imagerie médicale,GRENOBLE,0,4,4 - 1615
Médecine d'investigation 1,Médecine nucléaire,GRENOBLE,0,1,1144
Médecine d'investigation 2,Génétique médicale,GRENOBLE,0,0,
Médecine d'investigation 2,Biologie médicale,GRENOBLE,2,1,5701
Santé publique - Santé au travail - Médecine légale,Médecine et santé au travail,GRENOBLE,3,1,2051
Santé publique - Santé au travail - Médecine légale,Médecine légale et expertises médicales,GRENOBLE,0,1,4997
Santé publique - Santé au travail - Médecine légale,Santé publique,GRENOBLE,2,0,
Endocrinologie - Diabétologie - Nutrition - Gynécologie médicale,Gynécologie médicale,GRENOBLE,0,2,861 - 937
Endocrinologie - Diabétologie - Nutrition - Gynécologie médicale,Endocrinologie-diabétologie-nutrition,GRENOBLE,0,2,3600 - 4315
Spécialités médicales transversales,Médecine interne et immunologie clinique,GRENOBLE,0,3,744 - 3292
Spécialités médicales transversales,Maladies infectieuses et tropicales,GRENOBLE,0,1,1181
Spécialités médicales transversales,Gériatrie,GRENOBLE,1,4,3501 - 7427
Spécialités médicales transversales,Dermatologie et vénéréologie,GRENOBLE,0,2,195 - 333
